iter	Passed	Remaining
464	779	896
465	780	894
466	781	892
467	783	890
468	785	888
469	786	886
470	787	885
471	789	883
472	791	881
473	793	880
474	795	879
475	797	877
476	799	876
477	801	875
478	803	874
479	805	872
480	807	870
481	808	869
482	810	867
483	812	865
484	813	863
485	815	862
486	816	860
487	818	858
488	820	856
489	821	855
490	823	853
491	825	851
492	826	850
493	828	848
494	829	846
495	831	844
496	832	842
497	834	841
498	835	839
499	837	837
500	838	835
501	840	833
502	841	831
503	843	829
504	844	827
505	846	826
506	847	824
507	849	822
508	850	820
509	852	818
510	853	817
511	855	815
512	856	813
513	858	811
514	860	810
515	861	808
516	863	806
517	864	804
518	866	802
519	867	800
520	869	799
521	870	797
522	872	795
523	873	793
524	875	792
525	876	790
526	878	788
527	880	786
528	881	785
529	883	783
530	884	781
531	886	779
532	887	777
533	889	776
534	890	774
535	892	772
536	894	771
537	895	769
538	897	767
539	898	765
540	900	763
541	901	761
542	902	759
543	904	757
544	905	756
545	907	754
546	908	752
547	910	750
548	911	749
549	913	747
550	914	745
551	916	743
552	917	741
553	919	739
554	920	738
555	922	736
556	923	734
557	925	733
558	927	731
559	928	729
560	930	728
561	932	726
562	933	724
563	935	723
564	936	721
565	938	719
566	940	718
567	941	716
568	943	714
569	944	712
570	946	710
571	948	709
572	949	707
573	951	706
574	952	704
575	954	702
576	955	700
577	957	699
578	959	697
579	960	695
580	962	694
581	964	692
582	965	690
583	967	689
584	969	687
585	970	685
586	972	684
587	973	682
588	975	680
589	976	678
590	978	677
591	980	675
592	982	674
593	983	672
594	985	670
595	987	669
596	989	667
597	991	666
598	992	664
599	994	663
600	996	661
601	998	660
602	1000	658
603	1002	657
604	1003	655
605	1005	653
606	1007	651
607	1008	650
608	1010	648
609	1011	646
610	1013	645
611	1015	643
612	1016	641
613	1018	640
614	1019	638
615	1021	636
616	1022	635
617	1024	633
618	1025	631
619	1027	629
620	1029	628
621	1031	626
622	1032	624
623	1034	623
624	1035	621
625	1037	619
626	1038	617
627	1040	616
628	1041	614
629	1043	612
630	1044	610
631	1046	609
632	1047	607
633	1049	605
634	1050	603
635	1051	602
636	1053	600
637	1055	598
638	1056	596
639	1058	595
640	1059	593
641	1060	591
642	1062	589
643	1063	587
644	1065	586
645	1066	584
646	1067	582
647	1069	580
648	1070	579
649	1072	577
650	1073	575
651	1075	574
652	1077	572
653	1078	570
654	1080	568
655	1081	567
656	1083	565
657	1085	563
658	1086	562
659	1088	560
660	1090	559
661	1092	557
662	1094	556
663	1096	554
664	1098	553
665	1099	551
666	1101	550
667	1103	548
668	1104	546
669	1106	544
670	1107	543
671	1109	541
672	1110	539
673	1113	538
674	1114	536
675	1116	535
676	1118	533
677	1119	531
678	1121	530
679	1122	528
680	1124	526
681	1126	525
682	1127	523
683	1129	521
684	1131	520
685	1133	518
686	1134	517
687	1136	515
688	1137	513
689	1139	511
690	1141	510
691	1142	508
692	1144	507
693	1146	505
694	1148	503
695	1150	502
696	1152	500
697	1154	499
698	1156	497
699	1157	496
700	1159	494
701	1161	492
702	1163	491
703	1165	489
704	1166	488
705	1168	486
706	1170	485
707	1172	483
708	1174	481
709	1176	480
710	1178	478
711	1180	477
712	1182	475
713	1184	474
714	1186	472
715	1188	471
716	1190	469
717	1191	467
718	1192	466
719	1194	464
720	1196	462
721	1197	461
722	1198	459
723	1200	457
724	1201	455
725	1203	454
726	1204	452
727	1206	450
728	1207	448
729	1208	447
730	1210	445
731	1212	443
732	1213	442
733	1215	440
734	1216	438
735	1218	436
736	1219	435
737	1221	433
738	1222	431
739	1223	429
740	1225	428
741	1226	426
742	1228	424
743	1229	423
744	1231	421
745	1233	419
746	1234	418
747	1236	416
748	1237	414
749	1239	413
750	1240	411
751	1242	409
752	1244	408
753	1245	406
754	1247	404
755	1248	403
756	1250	401
757	1251	399
758	1253	397
759	1254	396
760	1256	394
761	1257	392
762	1259	391
763	1262	389
764	1264	388
765	1265	386
766	1267	385
767	1269	383
768	1271	381
769	1273	380
770	1274	378
771	1276	377
772	1278	375
773	1280	373
774	1281	372
775	1283	370
776	1285	369
777	1287	367
778	1288	365
779	1290	364
780	1292	362
781	1294	360
782	1296	359
783	1297	357
784	1300	356
785	1301	354
786	1303	352
787	1304	351
788	1306	349
789	1308	347
790	1310	346
791	1311	344
792	1313	342
793	1315	341
794	1316	339
795	1318	337
796	1319	336
797	1321	334
798	1322	332
799	1324	331
800	1325	329
801	1327	327
802	1328	326
803	1330	324
804	1331	322
805	1333	320
806	1334	319
807	1335	317
808	1337	315
809	1338	314
810	1340	312
811	1341	310
812	1342	308
813	1344	307
814	1346	305
815	1347	303
816	1348	302
817	1350	300
818	1351	298
819	1353	297
820	1354	295
821	1355	293
822	1357	291
823	1358	290
824	1359	288
825	1361	286
826	1362	285
827	1364	283
828	1366	281
829	1367	280
830	1370	278
831	1371	276
832	1373	275
833	1375	273
834	1377	272
835	1378	270
836	1380	268
837	1382	267
838	1383	265
839	1385	263
840	1386	262
841	1387	260
842	1389	258
843	1390	257
844	1391	255
845	1393	253
846	1394	251
847	1396	250
848	1398	248
849	1400	247
850	1401	245
851	1402	243
852	1404	241
853	1405	240
854	1406	238
855	1407	236
856	1409	235
857	1410	233
858	1411	231
859	1413	230
860	1414	228
861	1415	226
862	1417	225
863	1419	223
864	1420	221
865	1422	220
866	1424	218
867	1426	217
868	1428	215
869	1430	213
870	1431	212
871	1433	210
872	1435	208
873	1437	207
874	1439	205
875	1441	203
876	1442	202
877	1444	200
878	1445	199
879	1447	197
880	1449	195
881	1450	194
882	1452	192
883	1454	190
884	1456	189
885	1457	187
886	1459	185
887	1461	184
888	1462	182
889	1464	181
890	1466	179
891	1468	177
892	1469	176
893	1471	174
894	1473	172
895	1475	171
896	1477	169
897	1479	168
898	1481	166
899	1482	164
900	1484	163
901	1486	161
902	1488	159
903	1490	158
904	1492	156
905	1494	155
906	1496	153
907	1497	151
908	1499	150
909	1501	148
910	1503	146
911	1505	145
912	1507	143
913	1508	141
914	1510	140
915	1512	138
916	1513	137
917	1516	135
918	1518	133
919	1519	132
920	1521	130
921	1523	128
922	1525	127
923	1526	125
924	1528	123
925	1529	122
926	1530	120
927	1532	118
928	1533	117
929	1535	115
930	1536	113
931	1537	112
932	1538	110
933	1540	108
934	1541	107
935	1543	105
936	1544	103
937	1545	102
938	1547	100
939	1548	98
940	1550	97
941	1551	95
942	1552	93
943	1553	92
944	1555	90
945	1556	88
946	1558	87
947	1559	85
948	1560	83
949	1562	82
950	1563	80
951	1564	78
952	1566	77
953	1567	75
954	1568	73
955	1569	72
956	1571	70
957	1572	68
958	1573	67
959	1575	65
960	1576	63
961	1577	62
962	1579	60
963	1580	59
964	1581	57
965	1583	55
966	1585	54
967	1586	52
968	1588	50
969	1590	49
970	1592	47
971	1594	45
972	1595	44
973	1597	42
974	1599	41
975	1600	39
976	1602	37
977	1604	36
978	1606	34
979	1607	32
980	1609	31
981	1611	29
982	1612	27
983	1614	26
984	1616	24
985	1617	22
986	1619	21
987	1621	19
988	1623	18
989	1625	16
990	1627	14
991	1629	13
992	1631	11
993	1632	9
994	1634	8
995	1636	6
996	1638	4
997	1640	3
998	1642	1
999	1644	0
