iter	Logloss
0	0.6930394475
1	0.6928767854
2	0.692789253
3	0.6926905239
4	0.6925608163
5	0.6924415683
6	0.6923563941
7	0.6922763878
8	0.6921855099
9	0.6920583701
10	0.6919598812
11	0.6918763578
12	0.6917876876
13	0.6916749751
14	0.6915910125
15	0.6915218312
16	0.6914111074
17	0.6913248127
18	0.6911596188
19	0.691100886
20	0.6910006508
21	0.6909357999
22	0.6908488749
23	0.6901737157
24	0.6900877494
25	0.6900213716
26	0.6899370295
27	0.6898664559
28	0.6897707226
29	0.6896957962
30	0.6896277919
31	0.6895385151
32	0.6894673183
33	0.6894078562
34	0.689355557
35	0.6892699554
36	0.6892207202
37	0.689090183
38	0.6890227103
39	0.6889555369
40	0.688910903
41	0.6888237016
42	0.6887552719
43	0.6886929186
44	0.6885887465
45	0.6885292
46	0.6884625506
47	0.6884153347
48	0.6883840586
49	0.6883195354
50	0.6882702976
51	0.688230637
52	0.6881933972
53	0.6881266717
54	0.6880717715
55	0.6880099764
56	0.6879533968
57	0.6878909925
58	0.6878007969
59	0.6872501423
60	0.6872036914
61	0.687173435
62	0.6871301261
63	0.6870874764
64	0.6870481945
65	0.6870039699
66	0.6869349986
67	0.6868866332
68	0.6868435126
69	0.6868137309
70	0.6867593913
71	0.6867204152
72	0.686332774
73	0.6862885328
74	0.6862353402
75	0.6862032133
76	0.6861676405
77	0.6861391652
78	0.6861038168
79	0.6860799366
80	0.6860488191
81	0.6860031583
82	0.6859672867
83	0.6859312784
84	0.6858897715
85	0.6858525733
86	0.6858213728
87	0.6857627766
88	0.6857195736
89	0.6856590199
90	0.6856384965
91	0.6856113106
92	0.6855452578
93	0.6855127335
94	0.6854729123
95	0.6854291676
96	0.6854094974
97	0.6853865763
98	0.6849392782
99	0.6848477799
100	0.6848244422
101	0.6848044989
102	0.6847850046
103	0.6847602988
104	0.6847343065
105	0.6846923853
106	0.6846026115
107	0.6845078342
108	0.6844005166
109	0.6843765876
110	0.6843046918
111	0.6842820059
112	0.6842017725
113	0.6841603631
114	0.684145655
115	0.6841290434
116	0.6841155489
117	0.6840780997
118	0.68401475
119	0.6839749421
120	0.6839264504
121	0.6838824447
122	0.6837293246
123	0.683707193
124	0.6836499178
125	0.683635555
126	0.6836153982
127	0.6835933336
128	0.6835683237
129	0.6835241881
130	0.6834801838
131	0.6834614793
132	0.683407189
133	0.6833660671
134	0.6833259403
135	0.6832842353
136	0.6832485758
137	0.6832328576
138	0.6831969566
139	0.6831780253
140	0.6831630636
141	0.6831196787
142	0.6830694086
143	0.6830485009
144	0.6830245318
145	0.6829867832
146	0.6829420443
147	0.6829108245
148	0.6828804207
149	0.6827711684
150	0.6827533807
151	0.682706613
152	0.6826337663
153	0.6826232663
154	0.6825806307
155	0.6825550357
156	0.6825089911
157	0.6824828967
158	0.6824683506
159	0.6824353848
160	0.6824225207
161	0.6824088956
162	0.6823948296
163	0.6823646851
164	0.6823600545
165	0.6823429382
166	0.6822635024
167	0.6822204093
168	0.6822027814
169	0.6821679208
170	0.6821379309
171	0.6820710562
172	0.6815993284
173	0.6815916017
174	0.6815527488
175	0.6815226024
176	0.6814652823
177	0.6814464097
178	0.68142556
179	0.6813982972
180	0.6813937637
181	0.6813329859
182	0.6813161535
183	0.6812900403
184	0.6812566729
185	0.681245838
186	0.6812063238
187	0.6811881434
188	0.6811695083
189	0.6811526314
190	0.6811401211
191	0.6811364376
192	0.6811215349
193	0.6810366445
194	0.681012687
195	0.6809366668
196	0.6809289657
197	0.6809009457
198	0.6808866981
199	0.6808519036
200	0.6808420356
201	0.6808300355
202	0.6807858865
203	0.6807598068
204	0.68069197
205	0.6806275557
206	0.6805674407
207	0.6805614719
208	0.6805485804
209	0.6805018166
210	0.6804913768
211	0.6804760329
212	0.6804723585
213	0.6804686806
214	0.6804242651
215	0.6803858005
216	0.6803351922
217	0.6802996828
218	0.6802617394
219	0.6802369195
220	0.6802081401
221	0.6801716542
222	0.6801313512
223	0.6801159735
224	0.6800874809
225	0.6800473068
226	0.680028574
227	0.6800202442
228	0.6800091842
229	0.6799796307
230	0.6799336374
231	0.6798966128
232	0.6798615398
233	0.679832197
234	0.6798123287
235	0.6797681163
236	0.6797373711
237	0.6797043922
238	0.6796658005
239	0.6796400279
240	0.6795980677
241	0.6795664452
242	0.6795538015
243	0.679534685
244	0.6795089808
245	0.6794929973
246	0.679457118
247	0.6794350048
248	0.6794011748
249	0.6793895807
250	0.6793666941
251	0.6793382468
252	0.6793194748
253	0.6793050528
254	0.6792628888
255	0.6792490754
256	0.6792161545
257	0.6791864831
258	0.6791300795
259	0.6791258534
260	0.67910198
261	0.6790633188
262	0.6790438294
263	0.6790195776
264	0.6790021102
265	0.6789821479
266	0.6789707326
267	0.6789354563
268	0.6789062681
269	0.6788850963
270	0.6788718589
271	0.6788103123
272	0.6787910038
273	0.6787267955
274	0.6787117688
275	0.6786946304
276	0.6786748866
277	0.6786454871
278	0.678591783
279	0.6785804523
280	0.6785667515
281	0.6785514033
282	0.678496299
283	0.678444837
284	0.6784148277
285	0.6783949543
286	0.6783153982
287	0.6783104558
288	0.6782541987
289	0.6782124836
290	0.6781868671
291	0.6781478952
292	0.6780944903
293	0.678087725
294	0.6780346276
295	0.678025948
296	0.6780132869
297	0.6779729374
298	0.6779538553
299	0.6778940394
300	0.6778622526
301	0.6778322718
302	0.6778069464
303	0.6777995595
304	0.6767963971
305	0.6767776326
306	0.6767471132
307	0.6767378048
308	0.6767065838
309	0.6766955324
310	0.6766671311
311	0.6766295918
312	0.6766075113
313	0.6765989665
314	0.6765756265
315	0.6765665814
316	0.6765202161
317	0.6764873601
318	0.6764716646
319	0.676431305
320	0.676370499
321	0.6763435689
322	0.676298455
323	0.6762890247
324	0.6762169113
325	0.6761918227
326	0.6761538925
327	0.6761483848
328	0.676120636
329	0.6760747297
330	0.6760597788
331	0.6760468722
332	0.6760142113
333	0.6760024018
334	0.6759735102
335	0.6759091016
336	0.6758541507
337	0.6758440914
338	0.6758251823
339	0.6758175696
340	0.6757949092
341	0.6757413806
342	0.6757024676
343	0.6756701819
344	0.6756610153
345	0.675618725
346	0.675586302
347	0.6755513176
348	0.6755049636
349	0.6754691384
350	0.6754536501
351	0.6754226209
352	0.6754058817
353	0.6753807456
354	0.6753210991
355	0.6752969965
356	0.6752722118
357	0.6752361536
358	0.6751941918
359	0.6751549841
360	0.675110682
361	0.6750876312
362	0.6750501142
363	0.6750361688
364	0.6750203263
365	0.6749779471
366	0.6749194822
367	0.6748940367
368	0.6748613569
369	0.674826019
370	0.6748156345
371	0.6748041437
372	0.6747835433
373	0.6747795935
374	0.6747616858
375	0.6747556277
376	0.6747432967
377	0.6747120695
378	0.6747065212
379	0.6746910213
